is_doh,bytes_rev,bytes,packets,packets_rev,packets_sum,bytes_ration,num_pkts_ration,time,av_pkt_size,av_pkt_size_rev,var_pkt_size,var_pkt_size_rev,median_pkt_size,median_pkt_size_rev,mindelay,avgdelay,maxdelay,bursts,fazzel,time_leap_ration,autocorr,stSum,ndSum,rdSum
True,13377,6584,58,63,121,0.4921880840248187,0.9206349206349206,484.502,113.51724137931036,212.3333333333333,11695.37109375,290063.9795918368,91.5,266.5,15.425999999999998,47.90075862068966,77.16199999999998,0,0,1.0,0.0,2,-1,1
True,4826,1387,12,14,26,0.2874015748031496,0.8571428571428571,92.784,115.58333333333331,344.71428571428567,5564.4,244003.6875,93.0,364.0,3.756,32.48983333333333,53.99800000000001,0,0,1.0,0.0,-2,-1,-2
True,3508,2177,13,15,28,0.620581527936146,0.8666666666666667,183.9,167.46153846153842,233.86666666666667,32571.265306122445,49760.2,92.0,140.0,38.618,100.2065,142.602,0,0,1.0,0.3267902997541561,1,2,-4
True,421,362,3,4,7,0.8598574821852731,0.75,28.864,120.66666666666669,105.25,5625.0,7140.25,121.0,130.5,0.092,14.53133333333333,27.851999999999997,0,0,1.0,0.0,0,0,0
True,1856,1322,12,12,24,0.7122844827586207,1.0,30196.522,110.16666666666669,154.66666666666666,428.6875,16341.5,68.5,112.5,0.688,19009.91386666667,30193.258,0,0,1.0,0.6615693714788955,1,0,-1
True,7935,1823,16,15,31,0.2297416509136736,1.0666666666666669,515.242,113.9375,529.0,29529.138888888887,252887.10743801648,78.0,608.0,48.11600000000001,330.884625,478.538,0,0,1.0,0.0,-3,2,-2
True,4893,1386,12,15,27,0.2832618025751073,0.8,59.972,115.5,326.2,5523.360000000002,271538.484375,93.0,305.0,3.806,18.746666666666666,33.686,0,0,1.0,0.0,-2,-1,-2
True,960,799,6,7,13,0.8322916666666667,0.8571428571428571,16572.592,133.16666666666666,137.14285714285714,7692.1875,8474.0,121.0,235.0,16411.396,16434.703999999998,16481.168,0,0,1.0,0.6295233154153606,2,1,-2
True,16344,6441,56,90,146,0.39408957415565343,0.6222222222222222,38529.03999999999,115.01785714285714,181.6,456.97222222222234,13372.916666666664,86.0,154.0,65.896,152.71255172413788,213.48,0,0,1.0,0.5101800540713025,4,-5,-7
True,978,860,5,4,9,0.8793456032719836,1.25,195.516,172.0,244.5,67600.0,36481.0,324.0,403.0,37.75,69.488,89.56200000000003,0,0,1.0,0.0,0,0,0
True,4669,1343,10,12,22,0.2876418933390448,0.8333333333333334,94.128,134.3,389.08333333333326,6104.96,272561.4722222222,201.0,477.5,3.18,41.5874,79.664,0,0,1.0,0.0,-1,0,0
True,4456,1147,10,13,23,0.25740574506283664,0.7692307692307693,84.42,114.7,342.76923076923083,6193.6,222933.0,203.0,471.0,2.15,30.3798,67.01,0,0,1.0,0.0,-1,0,0
True,14303,8445,63,109,172,0.5904355729567223,0.5779816513761468,38453.086,134.04761904761904,131.22018348623857,3102.743801652893,2902.470914127424,153.0,70.0,45.214,127.97689655172415,183.114,0,0,1.0,0.0728674030859827,-2,-1,-5
True,816,870,6,4,10,1.0661764705882353,1.5,65.632,145.0,204.0,5000.0,8474.0,196.0,235.0,0.29600000000000004,27.3788,59.918,0,0,1.0,0.4302260704077595,2,-1,-1
True,6340,1450,11,13,24,0.22870662460567825,0.8461538461538461,476.838,131.8181818181818,487.6923076923077,30628.64,318272.4897959184,99.0,1144.0,15.318,25.72909090909091,44.258,0,0,1.0,0.0,-2,3,-1
True,6919,1635,11,15,26,0.23630582454111865,0.7333333333333333,113.714,148.63636363636363,461.26666666666665,24991.805555555562,287065.484375,147.5,791.0,15.048,48.09292307692309,96.576,0,0,1.0,0.0,-2,3,-3
True,112,216,4,2,6,1.9285714285714288,2.0,24.884,54.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0
True,5721,873,7,7,14,0.1525957000524384,1.0,881.186,124.71428571428572,817.2857142857142,51302.25,178303.36,290.5,1430.0,42.332,130.36300000000003,310.514,0,0,1.0,0.0,0,-1,0
True,2092,1879,11,14,25,0.8981835564053537,0.7857142857142857,243.846,170.8181818181818,149.42857142857142,2736.979591836735,4276.408163265306,195.0,215.0,0.636,62.63400000000001,153.282,0,0,1.0,0.3020210732163019,4,-3,-1
True,6639,1685,12,15,27,0.2538032836270523,0.8,75.168,140.41666666666666,442.6,25509.80555555555,319283.234375,147.5,709.0,15.284,28.36015384615385,58.444,0,0,1.0,0.0,-2,3,-3
True,341,160,3,5,8,0.46920821114369504,0.6,15873.176,53.33333333333334,68.2,361.0,72.25,20.0,64.5,15852.13,15859.118,15866.178,0,0,1.0,0.0,0,0,0
True,992,867,5,4,9,0.873991935483871,1.25,180.542,173.4,248.0,69432.25,39204.0,327.5,410.0,37.086,44.51466666666667,52.316,0,0,1.0,0.0,0,0,0
True,992,867,5,4,9,0.873991935483871,1.25,165.532,173.4,248.0,69432.25,39204.0,327.5,410.0,36.73,44.17266666666666,52.658,0,0,1.0,0.0,0,0,0
True,301,121,3,4,7,0.4019933554817276,0.75,20883.404,40.333333333333336,75.25,0.0,72.25,1.0,64.5,15871.542,18369.794,20868.046000000002,0,0,1.0,0.0,0,0,0
True,1397,986,7,7,14,0.705798138869005,1.0,346.22799999999995,140.85714285714286,199.57142857142856,37454.88888888888,156510.8888888889,170.0,147.0,45.214,135.3016,188.394,0,0,1.0,0.0,0,-1,1
True,8131,2903,23,28,51,0.3570286557618989,0.8214285714285714,134.054,126.21739130434784,290.39285714285717,17563.80102040816,288204.3112244898,90.0,229.5,15.326,43.002444444444436,88.242,0,0,1.0,0.0,1,2,-3
True,1397,986,7,7,14,0.705798138869005,1.0,525.374,140.85714285714286,199.57142857142856,37454.88888888888,156510.8888888889,170.0,147.0,36.664,108.388,232.65,0,0,1.0,0.0,0,-1,1
True,1546,1508,11,8,19,0.9754204398447608,1.375,1262.1760000000004,137.0909090909091,193.25,44789.36,13532.25,92.0,260.5,14.588,32.54125,50.038,0,0,1.0,0.0,1,0,0
True,7082,1543,14,16,30,0.2178763061282124,0.875,542.868,110.21428571428572,442.625,29529.138888888887,306508.0,78.0,515.0,38.204,75.68013333333334,117.66,0,0,1.0,0.0,-3,0,-3
True,1131,526,5,8,13,0.4650751547303271,0.625,70.94200000000002,105.2,141.375,4933.555555555555,32441.6,39.0,39.0,4.94,26.104285714285716,54.974,0,0,1.0,0.0,2,-1,-1
True,4828,1387,12,14,26,0.2872825186412593,0.8571428571428571,50.808,115.58333333333331,344.8571428571428,5564.4,238342.25,93.0,378.5,4.382,17.763666666666673,33.726,0,0,1.0,0.0,-2,-1,-2
True,7152,2239,21,18,39,0.3130592841163311,1.1666666666666667,231.304,106.61904761904762,397.33333333333326,5055.609375,291585.53719008266,101.5,238.0,28.63600000000001,87.86522222222223,169.74599999999995,0,0,1.0,0.55201223521849,-4,1,-2
True,1305,1198,16,12,28,0.918007662835249,1.3333333333333333,42645.14,74.875,108.75,191.4375,5207.859375,68.5,101.5,0.008,27220.538266666666,42621.70600000001,0,0,1.0,0.9981190420805496,1,0,-1
True,4514,2263,16,21,37,0.5013291980505096,0.7619047619047619,495.36400000000003,141.4375,214.952380952381,26089.33333333333,47537.484375,188.0,84.0,37.01,59.69441666666666,75.15,0,0,1.0,0.13391790193020586,6,-7,-4
True,380,307,4,3,7,0.8078947368421052,1.3333333333333333,18.422,76.75,126.66666666666669,306.25,9801.0,73.5,130.0,0.16,11.122666666666667,16.636000000000006,0,0,1.0,0.0,0,0,0
True,12579,11911,75,59,134,0.9468956196835996,1.2711864406779658,23870.142000000003,158.81333333333333,213.20338983050846,12939.168367346942,1828.08984375,196.0,218.5,16003.824,16259.223931034485,16954.878,0,0,1.0,0.7598489858780196,-2,1,1
True,7524,1539,8,12,20,0.20454545454545456,0.6666666666666666,113.792,192.375,627.0,42.25,236912.75,523.5,1194.0,32.986000000000004,51.27155555555554,70.744,0,0,0.6666666666666666,0.0,-1,0,-3
True,7365,1512,9,12,21,0.20529531568228107,0.75,114.53,168.0,613.75,32752.66666666667,192096.53061224488,363.0,1220.0,31.752,47.502,64.238,0,0,0.75,0.0,-1,0,-3
True,7275,1536,9,12,21,0.2111340206185567,0.75,110.876,170.66666666666666,606.25,33568.666666666664,203105.91836734687,387.0,1220.0,33.886,52.22222222222222,74.458,0,0,0.25,0.19319996735534464,-1,0,-3
True,480,80,1,6,7,0.16666666666666666,0.16666666666666666,32047.77,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0
True,160,237,4,4,8,1.48125,1.0,38.88,59.25,40.0,56.25,0.0,38.5,0.0,0.12,0.12,0.12,0,0,1.0,0.0,0,0,0
True,394,304,4,3,7,0.7715736040609137,1.3333333333333333,11.804,76.0,131.33333333333334,256.0,11236.0,72.0,137.0,0.01,3.5046666666666666,5.272,0,0,1.0,0.0,0,0,0
True,1397,986,7,7,14,0.705798138869005,1.0,386.546,140.85714285714286,199.57142857142856,37454.88888888888,156510.8888888889,170.0,147.0,36.768,69.1504,89.06,0,0,1.0,0.0,0,-1,1
True,480,80,1,6,7,0.16666666666666666,0.16666666666666666,32028.5,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0,0
